model,size_b,is_api,compression_ratio,avg_slope,compression_grammar,compression_coherence,compression_information,compression_lexical,score_std,range_used,n_scores
phi4-mini,3.8,False,0.07479468094973107,-0.7935519219092613,0.10514756944444437,0.045217767879237813,0.13027777777777771,0.018611111111111134,0.9129447133773204,7,8991
mistral-7b,7.0,False,0.02430555555555558,-0.28138888888888897,0.03416666666666668,0.02833333333333332,0.036388888888889026,-0.0016666666666667052,0.5455975893579038,6,9000
qwen2.5-7b,7.0,False,0.05569444444444427,-0.5862500794160787,0.0708333333333333,0.050833333333333286,0.08111111111111113,0.019999999999999796,0.5192637350476336,5,8998
llama3.1-8b,8.0,False,0.15583333333333338,-1.5711111111111116,0.3722222222222221,0.06583333333333341,0.11972222222222206,0.06555555555555559,1.11893028746592,5,9000
gemma2-9b,9.0,False,0.29937499999999995,-3.0277777777777795,0.4669444444444445,0.19500000000000006,0.35750000000000004,0.17805555555555552,1.2978753355810544,7,9000
phi4-14b,14.0,False,0.1758333333333334,-1.8055555555555562,0.2747222222222222,0.04583333333333339,0.2944444444444445,0.08833333333333337,0.9682429131561765,6,9000
qwen2.5-14b,14.0,False,0.44458333333333333,-4.5708333333333355,0.6319444444444444,0.11722222222222223,0.5944444444444444,0.43472222222222223,2.2404829006393774,7,9000
gemini-3-flash,100.0,True,0.6211111111111111,-6.176111111111114,0.7180555555555557,0.5433333333333334,0.6872222222222222,0.5358333333333334,2.152978132134898,8,9000
gpt-5-mini,100.0,True,0.6851388888888889,-6.460555555555558,0.7783333333333333,0.47138888888888886,0.8016666666666666,0.6891666666666667,2.4626167361706823,9,9000
gpt-oss-120b-fireworks,116.8,False,0.5040972222222222,-4.788333333333337,0.5794444444444444,0.3466666666666667,0.598611111111111,0.4916666666666667,2.245052069371,10,9000
minimax-m2p1-fireworks,228.7,False,0.42306481938907614,-4.22942442447521,0.5882582582582583,0.19586506799386671,0.5212443946188341,0.38410256920139996,2.6694507888034837,11,8933
