axis,level,mean,std,median,min,max,n
grammar,0.0,7.98,1.03,8.0,2,9,450
grammar,0.2,3.13,0.8,3.0,1,5,450
grammar,0.4,2.35,0.61,2.0,1,4,450
grammar,0.6,1.95,0.5,2.0,1,4,450
grammar,0.8,1.75,0.49,2.0,1,3,450
coherence,0.0,7.98,1.01,8.0,3,9,450
coherence,0.2,6.64,1.48,7.0,2,9,450
coherence,0.4,5.26,1.59,5.0,2,9,450
coherence,0.6,4.63,1.47,4.0,2,9,450
coherence,0.8,4.2,1.32,4.0,2,8,450
information,0.0,8.01,1.01,8.0,2,9,450
information,0.2,4.84,1.34,5.0,2,9,450
information,0.4,2.97,0.92,3.0,1,6,450
information,0.6,1.93,0.44,2.0,1,3,450
information,0.8,1.6,0.5,2.0,1,3,450
lexical,0.0,8.0,1.0,8.0,3,9,450
lexical,0.2,4.58,1.42,4.0,2,8,450
lexical,0.4,3.31,1.07,3.0,1,7,450
lexical,0.6,2.84,0.85,3.0,1,6,450
lexical,0.8,2.49,0.7,2.0,1,6,450
