model,method,feature_set,wasserstein,compression_ratio,spearman_rho,dose_response_slope,pairwise_accuracy,rmse
gemma2-9b,raw,-,2.6346,0.6,0.7042,-3.0278,0.6752,3.4319
gemma2-9b,aux_Ridge,A1,1.2122,1.0,0.7352,-5.887,0.8242,2.5164
gemma2-9b,aux_XGBoost,A1,0.971,1.0,0.7201,-6.7756,0.8167,2.4362
gemma2-9b,aux_Ridge,A2,1.2221,1.0,0.736,-6.0209,0.825,2.4864
gemma2-9b,aux_XGBoost,A2,0.9668,1.0,0.7225,-6.8093,0.8182,2.4255
gemma2-9b,aux_Ridge,B,0.9694,1.0,0.74,-6.6961,0.8276,2.3995
gemma2-9b,aux_XGBoost,B,0.9833,1.0,0.7182,-6.7907,0.816,2.4409
gemma2-9b,aux_Ridge,C,0.9541,1.0,0.7391,-6.8102,0.8272,2.381
gemma2-9b,aux_XGBoost,C,1.0009,1.0,0.7156,-6.7152,0.8147,2.4521
gpt-oss-120b-fireworks,raw,-,1.5642,0.9,0.617,-4.7883,0.6999,2.9248
gpt-oss-120b-fireworks,aux_Ridge,A1,1.1898,0.8238,0.6892,-6.2287,0.8024,2.5082
gpt-oss-120b-fireworks,aux_XGBoost,A1,1.0733,1.0,0.6914,-6.4869,0.8045,2.4948
gpt-oss-120b-fireworks,aux_Ridge,A2,1.1899,0.8345,0.6892,-6.2315,0.8023,2.5076
gpt-oss-120b-fireworks,aux_XGBoost,A2,1.0748,1.0,0.6895,-6.463,0.8035,2.5003
gpt-oss-120b-fireworks,aux_Ridge,B,1.1621,1.0,0.6891,-6.4554,0.8028,2.4647
gpt-oss-120b-fireworks,aux_XGBoost,B,1.0776,0.9823,0.6892,-6.4693,0.8035,2.5037
gpt-oss-120b-fireworks,aux_Ridge,C,1.157,1.0,0.6906,-6.4617,0.8037,2.4647
gpt-oss-120b-fireworks,aux_XGBoost,C,1.071,1.0,0.6792,-6.4136,0.7989,2.533
llama3.1-8b,raw,-,3.3231,0.7,0.4638,-1.5711,0.4593,4.3766
llama3.1-8b,aux_Ridge,A1,1.4633,0.8259,0.5355,-3.6297,0.7222,2.9903
llama3.1-8b,aux_XGBoost,A1,1.3328,0.9578,0.5362,-4.1623,0.724,2.9704
llama3.1-8b,aux_Ridge,A2,1.4634,0.8234,0.5351,-3.6269,0.722,2.9911
llama3.1-8b,aux_XGBoost,A2,1.3285,0.9525,0.5318,-4.1447,0.722,2.9817
llama3.1-8b,aux_Ridge,B,1.5078,0.8858,0.5354,-3.6277,0.7228,2.994
llama3.1-8b,aux_XGBoost,B,1.3431,0.9511,0.5511,-4.346,0.7315,2.9462
llama3.1-8b,aux_Ridge,C,1.4116,0.9699,0.5518,-3.9112,0.7313,2.9515
llama3.1-8b,aux_XGBoost,C,1.3264,0.9816,0.5499,-4.3675,0.731,2.9476
minimax-m2p1-fireworks,raw,-,0.9603,1.0,0.4725,-4.2408,0.6516,3.3473
minimax-m2p1-fireworks,aux_Ridge,A1,1.62,0.7477,0.5047,-3.1705,0.7105,3.057
minimax-m2p1-fireworks,aux_XGBoost,A1,1.4828,0.971,0.5371,-4.3126,0.7255,2.9075
minimax-m2p1-fireworks,aux_Ridge,A2,1.6183,0.7562,0.5045,-3.1718,0.7104,3.0568
minimax-m2p1-fireworks,aux_XGBoost,A2,1.4793,1.0,0.5358,-4.3081,0.7249,2.9095
minimax-m2p1-fireworks,aux_Ridge,B,1.5911,0.8582,0.5218,-3.6342,0.7192,2.9821
minimax-m2p1-fireworks,aux_XGBoost,B,1.4645,0.9996,0.5548,-4.4846,0.7333,2.8668
minimax-m2p1-fireworks,aux_Ridge,C,1.5757,0.8107,0.5281,-3.6726,0.7216,2.9767
minimax-m2p1-fireworks,aux_XGBoost,C,1.4545,1.0,0.55,-4.4705,0.7313,2.8786
mistral-7b,raw,-,4.0854,0.1,0.0834,-0.0314,0.0145,4.9009
mistral-7b,aux_Ridge,A1,2.2862,0.5226,-0.1124,-0.1799,0.3562,2.9206
mistral-7b,aux_XGBoost,A1,2.2928,0.5232,-0.1124,-0.1816,0.3562,2.92
mistral-7b,aux_Ridge,A2,2.2862,0.5226,-0.1124,-0.1799,0.3562,2.9206
mistral-7b,aux_XGBoost,A2,2.2929,0.5217,-0.1124,-0.1811,0.3562,2.92
mistral-7b,aux_Ridge,B,2.2862,0.5226,-0.1124,-0.1799,0.3562,2.9206
mistral-7b,aux_XGBoost,B,2.2928,0.5232,-0.1124,-0.1815,0.3562,2.92
mistral-7b,aux_Ridge,C,2.2861,0.5229,-0.1124,-0.18,0.3562,2.9206
mistral-7b,aux_XGBoost,C,2.2928,0.5232,-0.1124,-0.1816,0.3562,2.92
phi4-14b,raw,-,3.0682,0.5,0.5481,-1.8056,0.53,3.8693
phi4-14b,aux_Ridge,A1,1.4657,1.0,0.5714,-4.1782,0.7423,2.9041
phi4-14b,aux_XGBoost,A1,1.4752,0.9551,0.5052,-3.6077,0.7121,3.0879
