model,method,wasserstein,compression_ratio,spearman_rho,spearman_p,dose_response_slope,pairwise_accuracy
gemma2-9b,raw_argmax,2.6346,0.6,0.7042,0.0,-3.0278,0.6752
gemma2-9b,expected_score,2.6143,0.6054,0.7445,0.0,-3.0234,0.8302
gemma2-9b,asymmetry_fix_alpha=0.0,2.6143,0.6054,0.7445,0.0,-3.0234,0.8302
gpt-oss-120b-fireworks,raw_argmax,1.5642,0.9,0.617,0.0,-4.7883,0.6999
gpt-oss-120b-fireworks,expected_score,1.5595,0.7,0.7021,0.0,-5.2452,0.8088
gpt-oss-120b-fireworks,asymmetry_fix_alpha=0.0,1.5595,0.7,0.7021,0.0,-5.2452,0.8088
llama3.1-8b,raw_argmax,3.3231,0.7,0.4638,0.0,-1.5711,0.4593
llama3.1-8b,expected_score,3.3494,0.5643,0.5436,0.0,-1.5454,0.7265
llama3.1-8b,asymmetry_fix_alpha=0.0,3.3494,0.5643,0.5436,0.0,-1.5454,0.7265
minimax-m2p1-fireworks,raw_argmax,0.9603,1.0,0.4725,0.0,-4.2408,0.6516
minimax-m2p1-fireworks,expected_score,1.5258,1.0,0.3865,0.0,-2.6064,0.6529
minimax-m2p1-fireworks,asymmetry_fix_alpha=0.0,1.5258,1.0,0.3865,0.0,-2.6064,0.6529
mistral-7b,raw_argmax,4.0854,0.1,0.0834,0.06956779125131406,-0.0314,0.0145
mistral-7b,expected_score,4.0854,0.1,0.1294,0.004787475763775008,-0.0545,0.0181
mistral-7b,asymmetry_fix_alpha=0.0,4.0854,0.1,0.1294,0.004787475763775008,-0.0545,0.0181
phi4-14b,raw_argmax,3.0682,0.5,0.5481,0.0,-1.8056,0.53
phi4-14b,expected_score,2.9854,0.5034,0.5819,0.0,-1.8694,0.7469
phi4-14b,asymmetry_fix_alpha=0.0,2.9854,0.5034,0.5819,0.0,-1.8694,0.7469
phi4-mini,raw_argmax,3.738,1.0,0.2394,1.9856881092926982e-117,-0.7933,0.3707
phi4-mini,expected_score,3.7024,0.7394,0.2711,3.4756987547265375e-151,-0.665,0.6112
phi4-mini,asymmetry_fix_alpha=0.0,3.7024,0.7394,0.2711,3.4756987547265375e-151,-0.665,0.6112
qwen2.5-14b,raw_argmax,1.689,0.6,0.6181,0.0,-4.5708,0.6244
qwen2.5-14b,expected_score,1.6753,0.6149,0.6666,0.0,-4.5636,0.7885
qwen2.5-14b,asymmetry_fix_alpha=0.0,1.6753,0.6149,0.6666,0.0,-4.5636,0.7885
qwen2.5-7b,raw_argmax,4.0114,0.4,0.3237,1.6569608242374217e-218,-0.5863,0.3574
qwen2.5-7b,expected_score,3.9979,0.3854,0.3866,0.0,-0.5565,0.6599
qwen2.5-7b,asymmetry_fix_alpha=0.0,3.9979,0.3854,0.3866,0.0,-0.5565,0.6599
