model,method,wasserstein,compression_ratio,spearman_rho,spearman_p,dose_response_slope,pairwise_accuracy
gemini-3-flash,raw,1.4868,0.7,0.801,0.0,-6.1761,0.7784
gemini-3-flash,quantile_beta,1.4535,0.7779,0.801,0.0,-6.0779,0.7784
gemma2-9b,raw,2.6346,0.6,0.7042,0.0,-3.0278,0.6752
gemma2-9b,quantile_beta,1.3587,0.9047,0.7042,0.0,-5.178,0.6752
gpt-5-mini,raw,1.4496,0.8,0.7288,0.0,-6.4606,0.7561
gpt-5-mini,quantile_beta,1.3449,0.7917,0.7288,0.0,-5.5987,0.7561
gpt-oss-120b-fireworks,raw,1.5642,0.9,0.617,0.0,-4.7883,0.6999
gpt-oss-120b-fireworks,quantile_beta,1.4145,0.8704,0.617,0.0,-4.6393,0.6999
llama3.1-8b,raw,3.3231,0.7,0.4638,0.0,-1.5711,0.4593
llama3.1-8b,quantile_beta,1.8469,0.7588,0.4638,0.0,-3.1612,0.4593
minimax-m2p1-fireworks,raw,0.9603,1.0,0.4725,0.0,-4.2408,0.6516
minimax-m2p1-fireworks,quantile_beta,1.3029,0.8708,0.4725,0.0,-3.5312,0.6516
mistral-7b,raw,3.9758,0.5,0.1382,1.2896843009388846e-39,-0.2814,0.2965
mistral-7b,quantile_beta,1.8662,0.9777,0.1382,1.2896843009388846e-39,-0.877,0.2965
phi4-14b,raw,3.0682,0.5,0.5481,0.0,-1.8056,0.53
phi4-14b,quantile_beta,1.8006,0.6367,0.5481,0.0,-3.7471,0.53
phi4-mini,raw,3.738,1.0,0.2394,1.9856881092926982e-117,-0.7933,0.3707
phi4-mini,quantile_beta,1.87,0.9777,0.2394,1.9856881092926982e-117,-1.5736,0.3707
qwen2.5-14b,raw,1.689,0.6,0.6181,0.0,-4.5708,0.6244
qwen2.5-14b,quantile_beta,1.2994,0.6489,0.6181,0.0,-4.3598,0.6244
qwen2.5-7b,raw,4.0114,0.4,0.3237,1.6569608242374217e-218,-0.5863,0.3574
qwen2.5-7b,quantile_beta,1.9291,0.9732,0.3237,1.6569608242374217e-218,-1.9836,0.3574
