model,method,wasserstein,compression_ratio,spearman_rho,spearman_p,dose_response_slope,pairwise_accuracy
gemini-3-flash,raw,1.4868,0.7,0.801,0.0,-6.1761,0.7784
gemini-3-flash,quantile_uniform,1.0814,0.9304,0.801,0.0,-7.9825,0.7784
gemma2-9b,raw,2.6346,0.6,0.7042,0.0,-3.0278,0.6752
gemma2-9b,quantile_uniform,0.9878,0.9806,0.7042,0.0,-6.8903,0.6752
gpt-5-mini,raw,1.4496,0.8,0.7288,0.0,-6.4606,0.7561
gpt-5-mini,quantile_uniform,0.9773,0.9392,0.7288,0.0,-7.3292,0.7561
gpt-oss-120b-fireworks,raw,1.5642,0.9,0.617,0.0,-4.7883,0.6999
gpt-oss-120b-fireworks,quantile_uniform,0.9593,0.9731,0.617,0.0,-6.194,0.6999
llama3.1-8b,raw,3.3231,0.7,0.4638,0.0,-1.5711,0.4593
llama3.1-8b,quantile_uniform,1.6198,0.8638,0.4638,0.0,-4.1663,0.4593
minimax-m2p1-fireworks,raw,0.9603,1.0,0.4725,0.0,-4.2408,0.6516
minimax-m2p1-fireworks,quantile_uniform,0.8147,0.9613,0.4725,0.0,-4.7884,0.6516
mistral-7b,raw,3.9758,0.5,0.1382,1.2896843009388846e-39,-0.2814,0.2965
mistral-7b,quantile_uniform,1.5677,0.9992,0.1382,1.2896843009388846e-39,-1.205,0.2965
phi4-14b,raw,3.0682,0.5,0.5481,0.0,-1.8056,0.53
phi4-14b,quantile_uniform,1.3601,0.7312,0.5481,0.0,-5.0781,0.53
phi4-mini,raw,3.738,1.0,0.2394,1.9856881092926982e-117,-0.7933,0.3707
phi4-mini,quantile_uniform,1.4975,0.9991,0.2394,1.9856881092926982e-117,-2.1498,0.3707
qwen2.5-14b,raw,1.689,0.6,0.6181,0.0,-4.5708,0.6244
qwen2.5-14b,quantile_uniform,1.0351,0.789,0.6181,0.0,-6.0012,0.6244
qwen2.5-7b,raw,4.0114,0.4,0.3237,1.6569608242374217e-218,-0.5863,0.3574
qwen2.5-7b,quantile_uniform,1.7025,0.9987,0.3237,1.6569608242374217e-218,-2.7821,0.3574
